Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
218,381,90943,238.695538058,23.493412555,128.983829729,128.737532808,70.458675722,21.747489879,12.220945519,87.907007066,0.634318949,0.823506786,24.663179913,349.417322835,292.700787402,90.260185923,14.238635663,30184.212598425,129.75328084,-0.010897253,-0.447813987
219,380,91921,241.897368421,23.746060449,129.768128566,129.710526316,71.172452957,21.771667172,12.331624925,90.591704766,0.639390093,0.825483075,24.784839186,345.552631579,287.942105263,92.489185118,14.405872497,30668.85,130.544736842,0.005234105,-0.399344993
220,385,92088,239.18961039,23.789201757,129.440239844,129.797402597,70.346944683,21.528499504,12.250351937,90.237913779,0.640603208,0.825493487,24.439646746,353.838961039,287.007792208,90.28245276,14.291518717,30263.225974026,130.2,-0.015042961,-0.455835982
221,386,89449,231.733160622,23.107465771,128.690361221,128.691709845,68.646419184,21.319497091,12.079563492,89.581756607,0.642703202,0.826377907,24.147013391,345.878238342,290.398963731,92.902072386,14.047185838,29147.300518135,129.378238342,-0.009374594,-0.487820571
222,382,88784,232.418848168,22.935675536,128.749649307,128.738219895,68.815446592,21.121198422,12.142753459,88.962304057,0.640848839,0.825838274,24.048395918,345.518324607,291.628272251,90.264200242,14.118382277,29297.447643979,129.534031414,-0.024942,-0.480206595
223,386,90373,234.126943005,23.346163782,129.473539066,129.365284974,69.01153852,21.4941276,12.059482509,88.050615876,0.640866557,0.826209931,24.358426844,349.137305699,293.896373057,87.582292249,14.039591228,29647.810880829,130.170984456,-0.004073363,-0.466088419
224,388,87140,224.587628866,22.510979075,129.279397748,128.958762887,67.413611353,21.025816356,11.790280134,88.861571245,0.642983781,0.826098067,23.756098648,351.430412371,295.577319588,89.608350789,13.739907338,28339.24742268,129.840206186,0.019453694,-0.429036405
225,377,89023,236.135278515,22.997416688,130.096036349,129.960212202,70.165907756,21.763544089,12.125715279,89.872722339,0.634073177,0.822097712,24.766132753,348.108753316,292.429708223,91.304009212,14.150312158,30097.270557029,130.893899204,-0.004948973,-0.430390693
226,388,88668,228.525773196,22.905709119,129.474679888,128.835051546,67.895387106,21.207563072,11.987987784,90.269070736,0.645994212,0.827912143,24.05991733,348.463917526,293.237113402,88.406348431,13.918849852,28869.621134021,130.229381443,-0.022864402,-0.465518262
227,383,87012,227.18537859,22.477912684,129.736251951,129.80156658,67.780514598,21.150070818,11.907763499,86.487750772,0.643072052,0.822363594,23.992937997,350.167101828,290.689295039,86.694279521,13.931260935,28825.143603133,130.404699739,-0.008437737,-0.449692105
228,395,87012,220.283544304,22.477912684,130.032036677,129.688607595,66.246011985,20.698794729,11.669721945,87.895196235,0.647830007,0.824324292,23.444873227,345.825316456,292.26835443,89.190372856,13.657419417,27896.410126582,130.637974684,0.00247934,-0.481227468
229,378,85815,227.023809524,22.168690261,129.64597805,129.116402116,68.407533888,21.114202337,11.819971363,86.303586594,0.640849989,0.822996429,23.925955975,350.074074074,297.034391534,87.274847746,13.781412484,28733.708994709,130.407407407,-0.022232185,-0.477617504
